specID,Photo#,Cat#,Taxon,Site,Zone,Period,group,GLl,Bd,Dl,Dl_GLl,Bd_Dl
9,DSC_8510 (8510.tif),1038,sheep,DOR,Coastal,IA2,Dor,31.5,21.02,18.2,57.77777778,115.4945055
10,DSC_8516 (8516.tif),959,sheep,DOR,Coastal,IA2,Dor,29.3,19.5,16.8,57.45988392,115.8051099
11,DSC_8519,777,sheep,DOR,Coastal,IA2,Dor,28.2,17.4,15.9,56.31205674,109.5088161
12,DSC_8523 (8523.tif),838,sheep,DOR,Coastal,IA2,Dor,29,19.4,16.5,56.84246811,117.6470588
13,DSC_8528,863,sheep,DOR,Coastal,IA2,Dor,29.8,18.7,16.4,55.03355705,114.0243902
14,DSC_8531,783,sheep,DOR,Coastal,IA2,Dor,30.6,20.3,16.6,54.18027433,122.1217601
15,DSC_8534 (8534.tif),828,sheep,DOR,Coastal,IA2,Dor,30.4,19.5,16.3,53.73970346,119.3746168
16,DSC_8541,799,sheep,DOR,Coastal,IA2,Dor,30.7,19.6,16.3,53.22685789,120.0244948
17,DSC_8545 (8545.tif),920,sheep,DOR,Coastal,IA2,Dor,30.7,21.3,17.7,57.72860397,119.7857948
19,DSC_8556 (8556.tif),805,sheep,DOR,Coastal,IA2,Dor,31.3,20.5,18,57.55832534,113.9367018
20,DSC_8560 (8560.tif),865,sheep,DOR,Coastal,IA2,Dor,32.9,21.5,17.7,53.7993921,121.4689266
22,DSC_8566 (8566.tif),936,sheep,DOR,Coastal,IA2,Dor,29.8,18.6,17.2,57.74789916,108.2072177
23,DSC_8568,923,sheep,DOR,Coastal,IA2,Dor,33.7,21.3,18.6,55.07117438,114.7011309
24,DSC_8573,1002,sheep,DOR,Coastal,IA2,Dor,29.9,19.2,16.2,54.1680616,118.6650185
25,DSC_8578(8578.tif),630,sheep,KSN,Coastal,PER,Keisan,32,19.9,17.7,55.13581018,112.7406569
26,DSC_8579 (8579.tif,418,sheep,KSN,Coastal,PER,Keisan,30.7,19.7,18,58.70273794,109.5502499
27,DSC_8587,523,sheep,KSN,Coastal,IA2,Keisan,28.6,18.3,16.5,57.54189944,111.0436893
28,DSC_8594(8594.tif),448,sheep,KSN,Coastal,IA2,Keisan,31.3,20.4,16.9,53.82897256,121.1025489
29,DSC_8598(1.tif),1342,sheep,KSN,Coastal,PER,Keisan,29.5,18.3,15.8,53.55932203,115.8227848
31,DSC_8606(8606.tif),565,sheep,KSN,Coastal,PER,Keisan,33,22.1,18.8,56.91328078,117.7410762
32,DSC_8617(8617.tif),330,sheep,KSN,Coastal,PER,Keisan,32.2,21,18.3,56.71734409,115.0437637
33,DSC_8620 (8620.tif),329,sheep,KSN,Coastal,IA2,Keisan,32,20.4,17.1,53.35622854,119.251024
34,DSC_8625(8625.tif),548,sheep,KSN,Coastal,PER,Keisan,30.6,20.1,17.3,56.44633508,116.2318841
35,DSC_8630,720,sheep,KSN,Coastal,PER,Keisan,33.7,20.9,18.7,55.60830861,111.4194237
36,DSC_8638(8638.tif),702,sheep,KSN,Coastal,PER,Keisan,28.5,17.3,16,56.06326889,108.2131661
37,DSC_8642,535,sheep,KSN,Coastal,PER,Keisan,32.8,21.7,18.7,57.01219512,115.7754011
38,DSC_8647,1427,sheep,KSN,Coastal,IA2,Keisan,32.7,20.8,18.9,57.79816514,110.0529101
39,DSC_8652(8652.tif),466,sheep,KSN,Coastal,IA2,Keisan,30.1,19.3,17.4,57.73710483,110.9510086
40,DSC_8656(8656.tif),665,sheep,KSN,Coastal,IA2,Keisan,29.8,19.2,17.4,58.24949698,110.4778353
41,DSC_8662,666,sheep,KSN,Coastal,IA2,Keisan,30,19.1,16.6,55.23333333,115.5099578
42,DSC_8666,731,sheep,KSN,Coastal,IA2,Keisan,32,20.7,17.85,55.78125,115.9663866
43,DSC_8670(8670.tif),1226,sheep,KSN,Coastal,PER,Keisan,33.9,21.9,20.7,61.0619469,105.7971014
60,DSC_8738,306,sheep,ABM,Inland,IA2,ABM,30.2,19.1,16.1,53.31125828,118.6335404
61,DSC_8742,319,sheep,ABM,Inland,IA2,ABM,29.1,17.9,13.9,47.76632302,128.7769784
62,DSC_8753,378,sheep,ABM,Inland,IA2,ABM,30,18.7,15.5,51.66666667,120.6451613
63,DSC_8911,343,sheep,ABM,Inland,IA2,ABM,31.6,19.9,16.7,52.84810127,119.1616766
64,DSC_8917,356,sheep,ABM,Inland,IA2,ABM,29.1,18.8,15.2,52.23367698,123.6842105
65,DSC_8921,333,sheep,ABM,Inland,IA2,ABM,31.2,19.8,15.8,50.64102564,125.3164557
66,DSC_8925,326,sheep,ABM,Inland,IA2,ABM,31.7,19.9,17,53.62776025,117.0588235
67,DSC_8929,357,sheep,ABM,Inland,IA2,ABM,28,17.7,15.5,55.35714286,114.1935484
68,DSC_8933,328,sheep,ABM,Inland,IA2,ABM,28.5,18.8,15.8,55.43859649,118.9873418
69,DSC_8937,369,sheep,ABM,Inland,IA2,ABM,30.9,18.2,15.2,49.19093851,119.7368421
70,DSC_8941,379,sheep,ABM,Inland,IA2,ABM,28.9,18.8,15.3,52.94117647,122.875817
71,DSC_8948,355,sheep,ABM,Inland,IA2,ABM,32.4,20.1,16.9,52.16049383,118.9349112
72,DSC_8952,380,sheep,ABM,Inland,IA2,ABM,30.7,19.7,15.5,50.48859935,127.0967742
73,DSC_8956,382,sheep,ABM,Inland,IA2,ABM,29.8,18.5,15,50.33557047,123.3333333
74,DSC_8960,359,sheep,ABM,Inland,IA2,ABM,28.9,18.6,15.5,53.63321799,120
75,DSC_8964,350,sheep,ABM,Inland,IA2,ABM,29.2,19,15.2,52.05479452,125
76,DSC_8968,332,sheep,ABM,Inland,IA2,ABM,31.6,21.6,17.2,54.43037975,125.5813953
77,DSC_8972,358,sheep,ABM,Inland,IA2,ABM,30,18.9,16.3,54.33333333,115.9509202
78,DSC_8976,322,sheep,ABM,Inland,IA2,ABM,29.4,19.2,15.5,52.72108844,123.8709677
79,DSC_8980,345,sheep,ABM,Inland,IA2,ABM,29.4,18.3,15.9,54.08163265,115.0943396
80,DSC_8984,373,sheep,ABM,Inland,IA2,ABM,32.2,19.2,17,52.79503106,112.9411765
81,DSC_8988,375,sheep,ABM,Inland,IA2,ABM,30.2,18.7,15.9,52.64900662,117.6100629
82,DSC_8996,331,sheep,ABM,Inland,IA2,ABM,29,19,16.2,55.86206897,117.2839506
83,DSC_9001,383,sheep,ABM,Inland,IA2,ABM,28.9,18.7,15.6,53.97923875,119.8717949
84,DSC_9005,308,sheep,ABM,Inland,IA2,ABM,29.4,18.8,15.7,53.40136054,119.7452229
85,DSC_9009,372,sheep,ABM,Inland,IA2,ABM,30,19,15.4,51.33333333,123.3766234
86,DSC_9013,338,sheep,ABM,Inland,IA2,ABM,27.4,17.3,14.7,53.64963504,117.6870748
87,DSC_9017,323,sheep,ABM,Inland,IA2,ABM,29.8,19,15.9,53.3557047,119.49685530000001
88,DSC_9021,307,sheep,ABM,Inland,IA2,ABM,31,19.8,15.8,50.96774194,125.3164557
89,DSC_9025,311,sheep,ABM,Inland,IA2,ABM,32.6,19.2,16.7,51.22699387,114.9700599
90,DSC_9029,365,sheep,ABM,Inland,IA2,ABM,28.5,18.1,15.2,53.33333333,119.0789474
91,DSC_9037,316,sheep,ABM,Inland,IA2,ABM,29.9,18.8,15.3,51.17056856,122.875817
92,DSC_9041,321,sheep,ABM,Inland,IA2,ABM,30.7,19.9,15.9,51.79153094,125.1572327
93,DSC_9045(9045.tif),87,sheep,ABM,Inland,IA2,ABM,29.3,19.8,15.7,53.58361775,126.1146497
94,DSC_9049(9049.tif),82,sheep,ABM,Inland,IA2,ABM,29.5,19.3,15.9,53.89830508,121.3836478
